Image category,Culture,Prompt,Response
sport,Chinese,Describe what is happening in this image.,"The image depicts a group of people, mostly men, gathered in a dirt field. They are participating in an outdoor activity, possibly practicing some form of martial arts or dancing. There are at least 15 people in the scene, with some individuals standing closer to the center of the image while others are positioned further away.  In addition to the people, there are several handbags scattered throughout the scene, likely belonging to the participants. A few trees can be seen in the background, adding a natural touch to the outdoor setting."
sport,Chinese,What culture is this image taken from.,This image is taken from Chinese culture.
sport,Chinese,This is an image from Chinese culture. Describe what is happening.,"The image depicts a group of people, mostly elderly men, gathered in an outdoor park. They are participating in a Chinese martial arts performance, with some of them wearing pink shirts and others wearing blue shirts. The group is engaging in a lively and energetic dance, showcasing their martial arts skills."
sport,Indian,Describe what is happening in this image.,"The image depicts a group of young men playing a game of cricket on a pink court. They are all wearing blue and yellow uniforms, indicating that they are part of the same team. There are at least 12 players involved in the game, with some of them positioned closer to the center of the court, while others are located near the edges. The players are actively engaging in the game, with several of them trying to gain possession of the ball. Additionally, there are several advertisement banners visible in the background, suggesting that the game is taking place in a stadium or other public venue."
sport,Indian,What culture is this image taken from.,"This image is taken from the game of kabaddi, which is a popular sport in India."
sport,Indian,This is an image from Indian culture. Describe what is happening.,"In this image, a group of young men are playing a game of volleyball on a pink court. The players are competing fiercely, trying to gain control of the ball and score points for their team. Some of the players are wearing blue jerseys, while others are wearing yellow jerseys. The game appears to be taking place in an indoor arena or stadium."
sport,American,Describe what is happening in this image.,"In this image, a group of young football players are playing a game on a lush green field. There are several football players scattered across the field, some running with the ball and others trying to tackle them. A few cars can be seen parked on the side of the field, possibly belonging to the players or spectators. Additionally, there is a truck parked near the edge of the field. The scene captures the excitement and energy of a youth football game in progress."
sport,American,What culture is this image taken from.,This image is taken from American football culture.
sport,American,This is an image from American culture. Describe what is happening.,"In this image, a group of young football players are playing a game on a grassy field. There are several football players on the field, some of whom are wearing helmets, while others are wearing jerseys. The players are actively participating in the game, with one player being tackled by another player. Additionally, there is a car parked near the field, suggesting that the game is taking place in an outdoor location."
holiday,Chinese,Describe what is happening in this image.,"The image depicts a large group of people dressed in vibrant, colorful outfits participating in a parade. They are walking down the street, holding various objects, such as umbrellas, canes, and other decorative items. There are multiple people in the scene, with some standing closer to the front of the parade while others are positioned further back. In total, there are at least 18 people visible in the image."
holiday,Chinese,What culture is this image taken from.,This image is taken from the Chinese culture.
holiday,Chinese,This is an image from Chinese culture. Describe what is happening.,"In this image, a large group of people dressed in colorful costumes are participating in a lively parade. The parade is filled with vibrant decorations, including dragon-themed floats, which add to the festive atmosphere. Many people can be seen dancing and waving along the parade route, creating a lively and joyful scene."
holiday,American,Describe what is happening in this image.,"In this image, a military parade is taking place in front of the Lincoln Memorial in Washington, D.C. A large crowd of people has gathered to watch the parade, which features a group of soldiers marching down the street. There are at least 18 people visible in the scene, some standing on the sidewalks and others watching the parade from the sidelines. Additionally, several flags can be seen waving in the air, adding to the patriotic atmosphere of the event."
holiday,American,What culture is this image taken from.,"The image depicts a military parade in Washington, D.C., which is the capital city of the United States."
holiday,American,This is an image from American culture. Describe what is happening.,"The image depicts a military parade in Washington, D.C. during the Fourth of July celebrations. A large crowd of people is gathered to watch the parade, which features soldiers marching down the street in formation. There are also several American flags displayed along the parade route, adding to the patriotic atmosphere of the event."
holiday,Indian,Describe what is happening in this image.,"The image depicts a large crowd of people celebrating the Hindu festival of Holi, also known as the ""Festival of Colors"". The scene is filled with vibrant hues of pink, purple, blue, and green, as people throw colored powder at each other, creating a colorful and joyous atmosphere.  In the center of the image, a group of people can be seen dancing and throwing colored powder at each other, creating a lively and festive atmosphere. Additionally, there are several smaller groups of people scattered throughout the image, all participating in the Holi celebration."
