region,image,shot_scale
BR,img_11,1
BR,img_184,1
BR,img_125,0
BR,img_100,0
BR,img_196,0
BR,img_113,0
BR,img_191,0
BR,img_55,1
BR,img_182,0
BR,img_15,1
BR,img_175,0
BR,img_34,1
BR,img_157,0
BR,img_22,1
BR,img_152,0
BR,img_35,0
BR,img_159,0
BR,img_75,0
BR,img_131,0
BR,img_140,1
BR,img_5,1
BR,img_6,1
BR,img_79,1
BR,img_104,1
BR,img_73,0
BR,img_65,1
BR,img_136,1
BR,img_42,0
BR,img_2,0
BR,img_45,1
BR,img_13,0
BR,img_4,0
BR,img_164,1
BR,img_101,0
BR,img_8,0
BR,img_44,1
BR,img_80,1
BR,img_186,1
BR,img_120,0
BR,img_171,0
BR,img_96,0
BR,img_156,1
BR,img_7,0
BR,img_64,1
BR,img_162,1
BR,img_69,1
BR,img_132,0
BR,img_10,0
BR,img_118,1
BR,img_112,1
BR,img_17,0
BR,img_86,0
BR,img_181,1
BR,img_78,0
BR,img_105,1
BR,img_29,1
BR,img_66,0
BR,img_26,1
BR,img_51,1
BR,img_48,0
BR,img_169,1
BR,img_95,0
BR,img_142,1
BR,img_158,0
BR,img_30,0
BR,img_144,1
BR,img_145,1
BR,img_19,0
BR,img_168,1
BR,img_180,0
BR,img_71,0
BR,img_151,0
BR,img_176,0
BR,img_38,1
BR,img_188,1
BR,img_110,1
BR,img_133,0
BR,img_179,2
BR,img_84,1
BR,img_74,0
BR,img_121,1
BR,img_50,1
BR,img_155,0
BR,img_129,0
BR,img_187,0
BR,img_68,1
BR,img_9,0
BR,img_165,0
BR,img_39,1
BR,img_130,0
BR,img_139,0
BR,img_92,1
BR,img_146,0
BR,img_61,0
BR,img_28,0
BR,img_77,1
BR,img_103,0
BR,img_189,1
BR,img_25,1
BR,img_116,1
BR,img_102,0
BR,img_185,1
BR,img_40,1
BR,img_0,0
BR,img_117,0
BR,img_18,1
BR,img_173,1
BR,img_124,0
BR,img_20,0
BR,img_193,1
BR,img_115,0
BR,img_91,0
BR,img_153,1
BR,img_99,1
BR,img_106,1
BR,img_37,1
BR,img_147,0
BR,img_1,0
BR,img_97,1
BR,img_23,1
BR,img_41,0
BR,img_82,1
BR,img_14,0
BR,img_127,1
BR,img_148,0
BR,img_183,0
BR,img_141,0
BR,img_90,0
BR,img_111,1
BR,img_161,1
BR,img_137,1
BR,img_138,1
BR,img_93,0
BR,img_85,0
BR,img_89,1
BR,img_21,1
BR,img_56,0
BR,img_46,1
BR,img_194,0
BR,img_166,0
BR,img_149,1
BR,img_114,0
BR,img_109,1
BR,img_154,1
BR,img_119,2
BR,img_122,1
BR,img_150,0
BR,img_108,1
BR,img_47,1
BR,img_57,0
BR,img_178,0
BR,img_76,0
BR,img_172,0
BR,img_54,1
BR,img_49,0
BR,img_128,2
BR,img_107,1
BR,img_62,0
BR,img_60,0
BR,img_27,1
BR,img_160,0
BR,img_59,0
BR,img_134,0
BR,img_12,1
BR,img_81,1
BR,img_53,1
BR,img_24,1
BR,img_3,0
BR,img_192,1
BR,img_87,0
BR,img_98,0
BR,img_70,1
BR,img_167,1
BR,img_58,1
BR,img_88,1
BR,img_135,0
BR,img_195,0
BR,img_63,0
BR,img_67,0
BR,img_170,1
BR,img_190,1
BR,img_32,0
BR,img_94,0
BR,img_126,0
BR,img_83,1
BR,img_36,1
BR,img_72,0
BR,img_174,0
BR,img_52,0
BR,img_123,0
BR,img_163,1
BR,img_31,0
BR,img_16,0
BR,img_143,1
BR,img_43,0
BR,img_33,1
BR,img_177,0
JP,img_11,1
JP,img_55,1
JP,img_15,0
JP,img_22,1
JP,img_35,1
JP,img_75,1
JP,img_5,0
JP,img_6,0
JP,img_34,1
JP,img_73,0
JP,img_65,0
JP,img_42,0
JP,img_2,0
JP,img_19,0
JP,img_45,0
JP,img_13,1
JP,img_4,1
JP,img_8,0
JP,img_44,1
JP,img_7,1
JP,img_64,1
JP,img_69,0
JP,img_10,1
JP,img_17,1
JP,img_29,1
JP,img_66,1
JP,img_26,0
JP,img_51,0
JP,img_48,0
JP,img_30,0
JP,img_71,1
JP,img_38,1
JP,img_74,1
JP,img_50,1
JP,img_9,1
JP,img_39,1
JP,img_61,0
JP,img_25,0
JP,img_40,2
JP,img_0,1
JP,img_18,0
JP,img_20,1
JP,img_37,1
JP,img_1,1
JP,img_23,1
